,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_PERF,OPP_PERF,TEAM_WIN_PCT,OPP_WIN-PCT,WIN
1618,114.0,0.5489999999999999,0.579,0.419,30.0,40.0,81.0,0.326,0.684,0.188,17.0,53.0,1,111.8,106.9,0.833,0.71,1
1619,94.0,0.423,0.605,0.185,18.0,44.0,121.0,0.517,0.5,0.525,38.0,43.0,0,110.3,107.5,0.833,0.71,1
1620,97.0,0.391,0.609,0.306,18.0,52.0,96.0,0.43,0.759,0.24,23.0,43.0,1,111.0,108.4,0.833,0.71,0
1621,115.0,0.494,0.711,0.348,27.0,39.0,106.0,0.4429999999999999,0.7879999999999999,0.4,21.0,37.0,1,109.7,107.9,0.833,0.71,1
1622,104.0,0.429,0.667,0.4,26.0,53.0,78.0,0.357,0.5,0.273,16.0,51.0,1,111.0,111.3,0.833,0.71,1
1623,125.0,0.529,0.813,0.426,35.0,51.0,104.0,0.429,0.75,0.3329999999999999,25.0,40.0,1,111.3,98.2,0.833,0.742,1
1624,86.0,0.3779999999999999,0.789,0.176,21.0,53.0,92.0,0.442,0.778,0.37,19.0,46.0,0,113.5,99.2,0.833,0.588,1
1625,99.0,0.385,0.9,0.3329999999999999,19.0,54.0,100.0,0.4479999999999999,0.923,0.278,20.0,48.0,0,114.4,101.5,0.833,0.742,1
1626,112.0,0.542,0.909,0.48,33.0,43.0,101.0,0.488,0.696,0.4379999999999999,28.0,32.0,1,111.1,99.8,0.833,0.588,1
1627,117.0,0.5,0.875,0.3429999999999999,35.0,46.0,124.0,0.512,0.778,0.471,30.0,40.0,0,112.4,102.1,0.833,0.1669999999999999,0
1628,136.0,0.568,0.818,0.6,30.0,43.0,111.0,0.447,0.7879999999999999,0.375,23.0,37.0,1,110.9,108.3,0.833,0.7879999999999999,1
1629,106.0,0.4579999999999999,0.769,0.465,25.0,41.0,109.0,0.471,0.633,0.348,28.0,44.0,0,112.8,101.5,0.833,0.379,0
1630,96.0,0.402,0.4479999999999999,0.281,14.0,54.0,103.0,0.4379999999999999,0.722,0.3429999999999999,19.0,46.0,0,114.8,99.4,0.833,0.344,1
1631,102.0,0.4370000000000001,0.652,0.44,27.0,55.0,94.0,0.419,0.63,0.217,26.0,48.0,1,117.4,108.0,0.833,0.71,1
1632,117.0,0.53,0.75,0.424,32.0,44.0,105.0,0.467,0.917,0.3329999999999999,27.0,37.0,1,117.2,100.3,0.833,0.133,1
1633,128.0,0.489,0.913,0.467,30.0,40.0,120.0,0.4479999999999999,0.762,0.514,31.0,51.0,1,116.3,105.8,0.833,0.6970000000000001,1
